date,category,title,amount
2020-12-12,transporte,Bike e Moto 2/3,59.66
2020-12-12,saúde,Ivna Freitas de Sousa 2/2,55.5
2020-12-12,transporte,Maria das Candeias Dio 2/2,24
2020-12-12,eletrônicos,Americanas Com 4/10,12.69
2020-12-14,,Pagamento recebido,-59.68
2020-12-19,saúde,San Farma,6.45
2020-12-19,transporte,Posto Pinheiro - Joao,20
2020-12-21,transporte,Posto Pinheiro - Joao,31
2020-12-23,saúde,San Farma,45
2020-12-24,supermercado,Mercantil Diamante,26.97
2021-01-08,,Pagamento recebido,-301.27
2021-01-09,serviços,Picpay*As8*Recargacel,20
2021-01-11,restaurante,Mercadolivre*Galega,24
